PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
5236471;Casa de Niños Giner de los Ríos;;;; BUS:  24, 102, 103, 111, 144 ; ENSEÑANZA: Educación infantil (Primer Ciclo) ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cff7d468e4b4f110VgnVCM2000000c205a0aRCRD;MEMBEZAR;CALLE;V;25;;;;;MADRID;MADRID;28053;ENTREVIAS;PUENTE_DE_VALLECAS;443366;4470305;40.37952947;-3.668476504;917 860 722;917 860 722;cn.ginerdelosrios.madrid@educa.madrid.org;EscuelasInfantilesPublicas; 
73983;Casa de Niños Lope de Vega;;;; METRO: Urgel   BUS: 34 , 35 , 118 , 119 ; ENSEÑANZA: Educación infantil (Primer Ciclo) ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e26f68540e41c010VgnVCM2000000c205a0aRCRD;INGLATERRA;CALLE;NUM;8;;;;UBICADA EN C. P. LOPE DE VEGA;MADRID;MADRID;28019;SAN ISIDRO;CARABANCHEL;438731;4472019;40.39460546;-3.723240225;914 722 560;914 722 560;;EscuelasInfantilesPublicas; 
87760;Casa de Niños Nuestra Señora de la Fuencisla;;;;BUS: 18 , 22 , 59 , 76 , 79 , 85 , 86 RENFE: Doce de Octubre; ENSEÑANZA: Educación infantil (Primer Ciclo)  ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fdfd38d60b41c010VgnVCM2000000c205a0aRCRD;TOMELLOSO;CALLE;NUM;40;;;;UBICADA EN C.P. NTRA. SRA FUENCISLA;MADRID;MADRID;28026;ALMENDRALES;USERA;440860;4470369;40.3799316;-3.698002522;914 752 598;914 752 598;;EscuelasInfantilesPublicas; 
73972;Casa de Niños República de Brasil;;;Planes de mejora;BUS: 18 , 22 , 23 , 59 , 76 , 78 , 79 , 85 , 86 , 123 ; ENSEÑANZA: Educación infantil (Primer ciclo)  ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=387f68540e41c010VgnVCM2000000c205a0aRCRD;FUEROS;AVENIDA;NUM;34;;;;UBICADA EN C. P. REPUBLICA BRASIL;MADRID;MADRID;28041;SAN FERMIN;USERA;441571;4469288;40.3702436;-3.689527794;914 758 106;914 758 106;;EscuelasInfantilesPublicas; 
73975;Casa de Niños San Miguel;;;; Metro: Hortaleza Bus: 107 , 120 , 125 , 172 ; ENSEÑANZA: Educación Infantil (Primer ciclo)  ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d2af68540e41c010VgnVCM2000000c205a0aRCRD;VIRGEN DEL CARMEN;AVENIDA;V;32;;;;;MADRID;MADRID;28033;PINAR DEL REY;HORTALEZA;444823;4480826;40.47440639;-3.652228215;913 820 145;913 820 145;cn.sanmiguel.madrid@educa.madrid.org;EscuelasInfantilesPublicas; 
5201907;Centro  de Educación Especial Colegio Gaudem;;;;BUS: 105;  Enseñanzas   Educación especial:   Educación Básica Obligatoria  ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b000325a3e78e110VgnVCM2000000c205a0aRCRD;PLAYA DE BARLOVENTO;CALLE;V;14;;;;;MADRID;MADRID;28042;TIMON;BARAJAS;449767;4480668;40.47329744;-3.593893757;913 886 477;913 003 202;cc.gaudem.madrid@educa.madrid.org;CentrosPrivadosConcertadosEducacionEspecial; 
7524848;Centro Bobath de Formación Profesional;  Centro Privado de Formación Profesional Específica.  ;;;" Metro: Mirasierra (línea 9) 
 Bus: 49, 64 ";"  Enseñanzas impartidas  
  Grado medio:   
 
 Gestión Administrativa 
 ";0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=57976295cea86410VgnVCM2000000c205a0aRCRD;DEL MIRADOR DE LA REINA;CALLE;V;115;;;;;MADRID;MADRID;28035;MIRASIERRA;FUENCARRAL_EL_PARDO;439096;4482690;40.49079695;-3.719964971;913 767 190;913 763 588;secretaria@fundacionbobath.org;CentrosFormacionProfesionalPrivadosConcertados; 
84543;Centro de Educación de Adultos Centro Politécnico a distancia y Editorial CPD, SL; Titular: Ana Isabel Díaz García. ;;; Bus: 67, 83, 125, 178 ;"  Enseñanzas  
 
 Educación Secundaria Obligatoria para personas adultas 
 ";0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=783238d60b41c010VgnVCM2000000c205a0aRCRD;DE SANGENJO;CALLE;V;34;;;;;MADRID;MADRID;28034;LA PAZ;FUENCARRAL_EL_PARDO;440922;4482255;40.48701052;-3.698379097;913 781 432;917 390 931;cpd@cpd.es;CentrosEducacionAdultos; 
5756385;Centro de Educación de Adultos Cen-Taller Norte Joven VILLA_DE_VALLECAS; Titular: Asociación Cultural Norte Joven. ;;;" Metro: VILLA_DE_VALLECAS (línea 1) 
 Bus: 54, 103, 142 ";"  Enseñanzas  
 
 Educación Secundaria Obligatoria para personas adultas 
 Enseñanzas Iniciales Básicas para personas adultas (LOE) 
 ";0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4df34c16151b9210VgnVCM1000000b205a0aRCRD;PEÑA VEIGA;CALLE;V;0;;;;;MADRID;MADRID;28031;CASCO H.VALLECAS;VILLA_DE_VALLECAS;447195;4469994;40.37697971;-3.623345512;917 787 095;917 785 046;vallecas@nortejoven.org;CentrosEducacionAdultos; 
6471158;Centro de Educación de Adultos Radio ECCA; Titular: Compañía de Jesús. ;;;" Metro: Alonso Martínez (líneas 4, 5, 10) 
 Bus: 3, 37 ";"  Enseñanzas:   
 
 Educación Secundaria Obligatoria para personas adultas 
 ";0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2dc842574b5e7310VgnVCM2000000c205a0aRCRD;HERMANOS ALVAREZ QUINTERO;CALLE;V;2;;2;;;MADRID;MADRID;28004;JUSTICIA;CENTRO;440948;4475616;40.42720555;-3.697441809;915 930 990 ;914 474 045;secretaria@radioeccamadird.org / madrid@radioecca.org;CentrosEducacionAdultos; 
176172;Centro de Educación de Personas Adultas Nazaret; Titular: Parroquia Crucifixión del Señor. ;;;;"  Enseñanzas  
 
 Educación Secundaria Obligatoria para personas adultas 
 Enseñanzas Iniciales Básicas para personas adultas 
 ";0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4f157a7e0a61c010VgnVCM1000000b205a0aRCRD;CUART DE POBLET;CALLE;V;6;;;;;MADRID;MADRID;28047;LUCERO;LATINA;436305;4472321;40.39717979;-3.751842827;914 654 789;;;CentrosEducacionAdultos; 
84537;Centro de Educación de Personas Adultas Oscus - Vallecas; Titular: Obra Social y Cultural Sopeña Oscus. ;;;" Metro: Nueva Numancia  (línea 1), Portazgo (línea 1) 
 Bus: 10, 24, 54, 57, 58, 111, 136, 310 ";"  Enseñanzas  
 
 Educación Secundaria Obligatoria para personas adultas 
 Enseñanzas Iniciales Básicas para personas adultas 
 ";0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=477238d60b41c010VgnVCM2000000c205a0aRCRD;ARROYO DEL OLIVAR;CALLE;V;10;;;;;MADRID;MADRID;28053;SAN DIEGO;PUENTE_DE_VALLECAS;443659;4471853;40.39349467;-3.665162192;914 775 995;914 780 975;oscusvallecas@hotmail.com;CentrosEducacionAdultos; 
6594;Centro de Educación de Personas Adultas (CEPA)  Cultural Moratalaz;;;;" Metro: Artilleros (línea 9) 
 Bus: 8, 20, 30, 100 ";;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bcab3b54d771c010VgnVCM1000000b205a0aRCRD;CORREGIDOR ALONSO DE TOBAR;CALLE;V;7;;;;;MADRID;MADRID;28030;FONTARRON;MORATALAZ;444999;4473009;40.40399829;-3.649485794;914 370 219;914 378 411;cepa.moratalaz.madrid@educa.madrid.org;CentrosEducacionAdultos; 
6573;Centro de Educación de Personas Adultas (CEPA) Aluche;;;;" Metro: Aluche , Eugenia de Montijo (línea 5) 
 Bus: 17, 31, 121  
 Renfe: Aluche ";;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a27a3b54d771c010VgnVCM1000000b205a0aRCRD;OCAÑA;CALLE;V;35;;;;;MADRID;MADRID;28047;ALUCHE;LATINA;436030;4470956;40.38487113;-3.754957609;917 179 100;917 171 035;cepa.aluche.madrid@educa.madrid.org;CentrosEducacionAdultos; 
6593;Centro de Educación de Personas Adultas (CEPA) Arganzuela;;;;" Metro: Delicias (línea 3) 
 Bus: 6, 8, 19, 45, 47, 55, 59, 85, 86, 78, 148, 247 ";;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=978a3b54d771c010VgnVCM1000000b205a0aRCRD;BATALLA DEL SALADO;CALLE;V;29;;;;;MADRID;MADRID;28045;DELICIAS;ARGANZUELA;441038;4472649;40.40048368;-3.696117174;915 395 395;915 395 395;cepa.arganzuela.madrid@educa.madrid.org;CentrosEducacionAdultos; 
6568;Centro de Educación de Personas Adultas (CEPA) Canillejas;;;;" Metro: Las Musas (línea 7) 
 Bus: 28, 48, 140 ";;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8c9a3b54d771c010VgnVCM1000000b205a0aRCRD;MUSAS;CALLE;V;11;;;;;MADRID;MADRID;28022;CANILLEJAS;SAN_BLAS_CANILLEJAS;448512;4476732;40.43776264;-3.608378241;917 411 860;913 200 943;cepa.canillejas.madrid@educa.madrid.org;CentrosEducacionAdultos; 
6600;Centro de Educación de Personas Adultas (CEPA) CIUDAD_LINEAL;;;;" Metro: García Noblejas (línea 7) 
 Bus: 4, 28, 38, 48, 70 ";;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d28b3b54d771c010VgnVCM1000000b205a0aRCRD;HERMANOS GARCIA NOBLEJAS;CALLE;V;70;;;;acceso por Luis Campos;MADRID;MADRID;28037;PUEBLO NUEVO;CIUDAD_LINEAL;446486;4475812;40.42934657;-3.632187288;917 545 206;913 045 783;cepa.ciudadlineal.madrid@educa.madrid.org;CentrosEducacionAdultos; 
6575;Centro de Educación de Personas Adultas (CEPA) Daoíz y Velarde;;;;" Bus: 60, 78, 81, 116 
 Cercanías: Orcasitas (C5) ";;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=66ca3b54d771c010VgnVCM1000000b205a0aRCRD;FERNANDO ORTIZ;CALLE;V;2;;;;;MADRID;MADRID;28041;ORCASUR;USERA;440442;4468965;40.36725379;-3.70279506;915 651 055;915 697 036;cepa.daoizyvelarde.madrid@educa.madrid.org;CentrosEducacionAdultos; 
106258;Centro de Educación de Personas Adultas (CEPA) Distrito Centro;;;; Metro: Noviciado (línea 2)  Bus: 3, 147 ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0aea8899fc81c010VgnVCM1000000b205a0aRCRD;SAN BERNARDO;CALLE;V;70 PISO 2;;;;Edificio Instituto de Educación Secundaria Lope de Vega;MADRID;MADRID;28015;UNIVERSIDAD;CENTRO;440187;4475597;40.42697985;-3.7064225;915 329 959;915 329 959;cepa.centro.madrid@educa.madrid.org;CentrosEducacionAdultos; 
6565;Centro de Educación de Personas Adultas (CEPA) Entrevías;;;; Bus: 102, 103, 111 ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=40fa3b54d771c010VgnVCM1000000b205a0aRCRD;SERENA;CALLE;V;394;;;;;MADRID;MADRID;28053;ENTREVIAS;PUENTE_DE_VALLECAS;443278;4469978;40.37657766;-3.669483967;917 861 672 / 915 076 656;917 852 574;cepa.entrevias.madrid@educa.madrid.org;CentrosEducacionAdultos; 
6569;Centro de Educación de Personas Adultas (CEPA) Fuencarral;;;;" Metro: Fuencarral (línea 10) 
 Bus: 66, 137 ";;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=350b3b54d771c010VgnVCM1000000b205a0aRCRD;BRAILLE;CALLE;V;10;;;;;MADRID;MADRID;28034;VALVERDE;FUENCARRAL_EL_PARDO;441338;4483232;40.49584126;-3.693561526;917 364 684;917 340 489;cepa.fuencarral.madrid@educa.madrid.org;CentrosEducacionAdultos; 
6576;Centro de Educación de Personas Adultas (CEPA) Hortaleza - Mar Amarillo;;;;" Metro: San Lorenzo (Línea 4) 
 Bus: 9, 72, 87, 107 ";;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2a1b3b54d771c010VgnVCM1000000b205a0aRCRD;MAR AMARILLO;CALLE;V;21;;;;;MADRID;MADRID;28033;PINAR DEL REY;HORTALEZA;445769;4480852;40.47470305;-3.641071021;917 637 790;913 820 234;cepa.maramarillo.madrid@educa.madrid.org;CentrosEducacionAdultos; 
6572;Centro de Educación de Personas Adultas (CEPA) Joaquín Sorolla;;;;" Metro: Diego de León (líneas 4, 5, 6) 
 Bus: 1, 12, 26, 43, 48, 56, 61, 72, 73,  C1 ,  C2  ";"  Enseñanzas  
 
 Educación Secundaria Obligatoria para personas adultas ( LOE ) - Presencial y a distancia 
 Desarrollo personal 
 Francés 
 Inglés 
 Informática 
 Informática Ofimática 
 Técnico Profesional 
 Preparación acceso Ciclos Formativos GS 
 Español para inmigrantes 
 Enseñanzas iniciales básicas para personas adultas ( LOE ) 
 ";0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1f2b3b54d771c010VgnVCM1000000b205a0aRCRD;ALONSO HEREDIA;CALLE;V;16;;;;;MADRID;MADRID;28028;GUINDALERA;SALAMANCA;443042;4476518;40.4354775;-3.672838526;917 261 664  ;917 256 032;cepa.joaquinsorolla.madrid@educa.madrid.org;CentrosEducacionAdultos; 
6577;Centro de Educación de Personas Adultas (CEPA) la Albufera;;;; Metro: Portazgo , Nueva Numancia (línea 1)  Bus: 10, 24, 54, 57, 58, 103, 111, 136. ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f85b3b54d771c010VgnVCM1000000b205a0aRCRD;NUESTRA SEÑORA DEL PERPETUO SOCORRO;CALLE;V;23;;;;;MADRID;MADRID;28053;PALOMERAS BAJAS;PUENTE_DE_VALLECAS;443861;4471776;40.39281468;-3.662775376;914 789 325;914 785 525;cepa.laalbufera.madrid@educa.madrid.org;CentrosEducacionAdultos; 
6574;Centro de Educación de Personas Adultas (CEPA) Oporto;;;; Metro: Opañel (línea 6)  Bus: 47, 55, 81, 108, 118, 247  ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a1cb3b54d771c010VgnVCM1000000b205a0aRCRD;OPORTO;AVENIDA;V;46;;;;;MADRID;MADRID;28019;OPAÑEL;CARABANCHEL;438581;4471094;40.38633377;-3.724895422;915 608 402;914 697 543;cepa.oporto.madrid@educa.madrid.org;CentrosEducacionAdultos; 
6563;Centro de Educación de Personas Adultas (CEPA) Pan Bendito;;;; Metro: Pan Bendito (línea 11)  Bus: 47, 108, 118 ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=700c3b54d771c010VgnVCM1000000b205a0aRCRD;CAMINO VIEJO DE LEGANES;CALLE;V;188;;;;;MADRID;MADRID;28025;ABRANTES;CARABANCHEL;437764;4470075;40.3770028;-3.734502141;915 600 590;915 655 061;cepa.panbendito.madrid@educa.madrid.org;CentrosEducacionAdultos; 
6571;Centro de Educación de Personas Adultas (CEPA) Vallecas;;;;Bus: 58, 63, 145;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5a2c3b54d771c010VgnVCM1000000b205a0aRCRD;ANTONIO MARIA SEGOVIA;PLAZA;V;8;;;;;MADRID;MADRID;28031;SANTA EUGENIA;VILLA_DE_VALLECAS;448066;4470405;40.38073714;-3.613119146;913 311 433;913 854 563;cepa.vallecas.madrid@educa.madrid.org;CentrosEducacionAdultos; 
6567;Centro de Educación de Personas Adultas (CEPA) Villaverde;;;; Bus: 22, 76, 86, 130, 131  Renfe: Puente Alcocer ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=345c3b54d771c010VgnVCM1000000b205a0aRCRD;VILLALONSO;CALLE;V;10;;;;;MADRID;MADRID;28021;SAN ANDRES;VILLAVERDE;439927;4467018;40.34967712;-3.708676834;917 962 820;917 962 820;cepa.villaverde.madrid@educa.madrid.org;CentrosEducacionAdultos; 
174976;Centro de Educación Especial Aleph;; De lunes a viernes, de 9,30 a 16,00 horas ; - Programas de ocio y respiro en fin de semana y vacaciones - Programa de apoyo a familias (servicio de guardería) - Programa de Formación: Becas - Cursos - Charlas - Actividades - Formación de voluntariado ;"   Metro : Tres Olivos  
  Bus : 66, 137 ";"  Enseñanzas  
 
 Educación Especial
 
 Educación Básica Obligatoria-Primaria 
 Educación Básica Obligatoria- ESO 
 
 
 Programas de Transición a la Vida Adulta 
 ";0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fd7d14c4d661c010VgnVCM1000000b205a0aRCRD;CUEVA DE MONTESINOS;CALLE;V;49;;;;;MADRID;MADRID;28034;VALVERDE;FUENCARRAL_EL_PARDO;441439;4483728;40.50031656;-3.692415656;913 004 170;917 593 289;cc.aleph.madrid@educa.madrid.org;CentrosPrivadosConcertadosEducacionEspecial; 
